"Hugo_Symbol","Percent_Mut","Percent_AMP","Percent_DEL","Percent_AnyAlteration"
"A1BG",0.284090909090909,0.142045454545455,2.98295454545455,3.40909090909091
"A1CF",0.852272727272727,0.426136363636364,0.568181818181818,1.84659090909091
"A2BP1",0.994318181818182,0,0,0.994318181818182
"A2M",0.994318181818182,2.41477272727273,0.142045454545455,3.55113636363636
"A2ML1",0.568181818181818,2.41477272727273,0.142045454545455,3.125
"AACS",0.568181818181818,0.994318181818182,0.142045454545455,1.70454545454545
"AADAC",0.142045454545455,0.284090909090909,0.142045454545455,0.568181818181818
"AADACL2",0.994318181818182,0.142045454545455,0.142045454545455,1.27840909090909
"AADACL3",0.142045454545455,0.142045454545455,0.426136363636364,0.710227272727273
"AADACL4",0.710227272727273,0.142045454545455,0.426136363636364,1.27840909090909
"AADAT",0.142045454545455,0.142045454545455,1.98863636363636,2.27272727272727
"AAGAB",0.142045454545455,0,0,0.142045454545455
"AAK1",0.142045454545455,0,0,0.142045454545455
"AAMP",0.142045454545455,0.284090909090909,0.142045454545455,0.568181818181818
"AANAT",0.284090909090909,1.42045454545455,0,1.70454545454545
"AARS",0.284090909090909,0,0,0.284090909090909
"AARS2",0.142045454545455,0.852272727272727,0,0.994318181818182
"AARSD1",0.142045454545455,0.142045454545455,0.284090909090909,0.568181818181818
"AASDH",0.284090909090909,2.69886363636364,0.142045454545455,3.125
"AASDHPPT",0.142045454545455,0.710227272727273,0,0.852272727272727
"AASS",0.142045454545455,0.994318181818182,0,1.13636363636364
"AATF",0.426136363636364,0.142045454545455,0.284090909090909,0.852272727272727
"AATK",0.142045454545455,0.568181818181818,0.142045454545455,0.852272727272727
"ABAT",0.142045454545455,0.568181818181818,0,0.710227272727273
"ABCA1",0.710227272727273,0.284090909090909,0,0.994318181818182
"ABCA10",0.568181818181818,0.710227272727273,0,1.27840909090909
"ABCA12",0.568181818181818,0,0.142045454545455,0.710227272727273
"ABCA13",2.27272727272727,1.84659090909091,0,4.11931818181818
"ABCA2",0.284090909090909,1.5625,0.142045454545455,1.98863636363636
"ABCA3",0.568181818181818,0.568181818181818,0,1.13636363636364
"ABCA4",1.27840909090909,0.142045454545455,0.426136363636364,1.70454545454545
"ABCA5",0.852272727272727,0.710227272727273,0,1.5625
"ABCA6",0.852272727272727,0.710227272727273,0,1.5625
"ABCA7",1.42045454545455,2.98295454545455,0.142045454545455,4.54545454545455
"ABCA8",0.284090909090909,0.710227272727273,0,0.994318181818182
"ABCA9",0.710227272727273,0.710227272727273,0,1.27840909090909
"ABCB1",2.13068181818182,1.13636363636364,0,3.26704545454545
"ABCB10",0.284090909090909,0,0,0.284090909090909
"ABCB11",0.426136363636364,0.142045454545455,0,0.568181818181818
"ABCB4",1.42045454545455,1.13636363636364,0,2.55681818181818
"ABCB5",0.994318181818182,0.426136363636364,0,1.42045454545455
"ABCB6",0.142045454545455,0,0.142045454545455,0.284090909090909
"ABCB7",0.710227272727273,0.852272727272727,0.710227272727273,2.27272727272727
"ABCB8",0.284090909090909,1.42045454545455,0,1.70454545454545
"ABCB9",0.568181818181818,0.852272727272727,0.426136363636364,1.84659090909091
"ABCC1",0.426136363636364,0.284090909090909,0,0.710227272727273
"ABCC10",1.13636363636364,0.710227272727273,0,1.84659090909091
"ABCC11",0.994318181818182,0.142045454545455,0.142045454545455,1.27840909090909
"ABCC12",0.284090909090909,0.142045454545455,0.142045454545455,0.568181818181818
"ABCC2",0.142045454545455,0,0.142045454545455,0.284090909090909
"ABCC3",0.426136363636364,0.142045454545455,0,0.568181818181818
"ABCC4",0.994318181818182,0.284090909090909,0.284090909090909,1.5625
"ABCC5",0.568181818181818,1.27840909090909,0,1.84659090909091
"ABCC6",0.284090909090909,0.284090909090909,0,0.568181818181818
"ABCC8",0.426136363636364,0.284090909090909,0.426136363636364,1.13636363636364
"ABCC9",1.98863636363636,1.98863636363636,0,3.97727272727273
"ABCD1",0.284090909090909,1.70454545454545,0.426136363636364,2.41477272727273
"ABCD2",0.568181818181818,0.426136363636364,0.142045454545455,1.13636363636364
"ABCD3",0.284090909090909,0.142045454545455,0.284090909090909,0.710227272727273
"ABCE1",0.426136363636364,0,1.27840909090909,1.70454545454545
"ABCF1",0.568181818181818,0.284090909090909,0,0.852272727272727
"ABCF2",0.568181818181818,1.42045454545455,0,1.98863636363636
"ABCF3",0.284090909090909,1.27840909090909,0,1.5625
"ABCG1",0.426136363636364,0.142045454545455,0,0.568181818181818
"ABCG2",0.284090909090909,0,0,0.284090909090909
"ABCG4",0.568181818181818,1.84659090909091,0,2.41477272727273
"ABCG5",0.426136363636364,0.142045454545455,0,0.568181818181818
"ABCG8",0.426136363636364,0.142045454545455,0,0.568181818181818
"ABHD1",0.142045454545455,0,0,0.142045454545455
"ABHD10",0.284090909090909,0.142045454545455,0.426136363636364,0.852272727272727
"ABHD12B",0.142045454545455,0.426136363636364,0,0.568181818181818
"ABHD13",0.142045454545455,0.994318181818182,0.142045454545455,1.27840909090909
"ABHD15",0.142045454545455,0.142045454545455,0.142045454545455,0.426136363636364
"ABHD2",0.284090909090909,0.142045454545455,0,0.426136363636364
"ABHD3",0.142045454545455,0.142045454545455,0.142045454545455,0.426136363636364
